,term,justiceName,medianJJ,liberal,median,lib_median,lib_court,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,vote,opinion,direction,majority,firstAgreement,secondAgreement,_merge
28,1949,FFrankfurter,HHBurton,0,0,0,0,1949-112,1949-112-01,1949-112-01-01,1949-112-01-01-01-04,4/24/50,5,339 U.S. 940,70 S. Ct. 793,94 L. Ed. 2d 1356,1950 U.S. LEXIS 2598,1303,Vinson,490,UNITED STATES v. COTTON VALLEY OPERATORS COMMITTEE et al.,4/18/50,NA,27,NA,NA,NA,2,NA,NA,NA,77,NA,77,NA,0,1,NA,NA,1,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,80,8,1,NA,NA,0,0,3
29,1949,FMVinson,HHBurton,0,0,0,0,1949-077,1949-077-01,1949-077-01-01,1949-077-01-01-01-09,5/15/50,1,339 U.S. 542,70 S. Ct. 806,94 L. Ed. 2d 1053,1950 U.S. LEXIS 2490,1303,Vinson,118,"CAPITOL GREYHOUND LINES ET AL. v. BRICE, COMMISSIONER OF MOTOR VEHICLES",12/5/49,NA,121,NA,19,25,2,NA,NA,0,302,25,300,25,0,1,3,2,1,2,0,0,0,0,80100,8,2,0,2,NA,1,111,,78,87,1,6,2,87,1,1,2,2,NA,NA,3
30,1949,HHBurton,HHBurton,0,1,0,0,1949-036,1949-036-02,1949-036-02-01,1949-036-02-01-01-03,2/6/50,1,338 U.S. 572,70 S. Ct. 379,94 L. Ed. 2d 353,1950 U.S. LEXIS 2492,1303,Vinson,159,"CIVIL AERONAUTICS BOARD v. STATE AIRLINES, INC.",12/12/49,NA,104,NA,312,NA,1,12,NA,0,32,NA,32,NA,0,10,3,2,1,3,0,1,0,0,80260,8,2,0,5,4,6,600,49 U.S.C. Œ_ 401,78,87,1,6,2,86,1,1,2,2,NA,NA,3
31,1949,HLBlack,HHBurton,1,0,0,0,1949-025,1949-025-01,1949-025-01-01,1949-025-01-01-01-08,12/19/49,2,338 U.S. 440,70 S. Ct. 225,94 L. Ed. 2d 244,1949 U.S. LEXIS 1556,1303,Vinson,2,HUBSCH v. UNITED STATES,NA,NA,174,NA,27,NA,1,NA,NA,0,58,12,25,NA,0,11,2,1,1,5,1,1,0,0,90320,9,2,0,4,NA,3,374,,NA,NA,1,8,0,78,1,1,2,2,NA,NA,3
32,1949,RHJackson,HHBurton,0,0,0,0,1949-066,1949-066-01,1949-066-01-01,1949-066-01-01-01-04,4/24/50,1,339 U.S. 306,70 S. Ct. 652,94 L. Ed. 2d 865,1950 U.S. LEXIS 2070,1303,Vinson,378,"MULLANE, SPECIAL GUARDIAN, v. CENTRAL HANOVER BANK & TRUST CO., TRUSTEE, ET AL.",2/8/50,NA,166,NA,102,NA,2,117,37,0,302,37,300,37,0,1,2,1,3,4,0,1,0,0,40020,4,2,0,2,NA,2,230,,84,78,1,7,1,84,1,2,2,2,NA,NA,3
33,1949,SFReed,HHBurton,0,0,0,0,1949-004,1949-004-01,1949-004-01-01,1949-004-01-01-01-07,11/7/49,1,338 U.S. 241,70 S. Ct. 4,94 L. Ed. 2d 31,1949 U.S. LEXIS 1735,1303,Vinson,11,"McGRATH, ATTORNEY GENERAL, AS SUCCESSOR TO THE ALIEN PROPERTY CUSTODIAN, v. MANUFACTURERS TRUST CO.",10/12/49,NA,1,NA,113,NA,1,NA,NA,0,96,37,22,NA,1,2,2,1,1,2,0,0,0,0,40070,4,1,0,4,NA,3,376,,86,78,1,7,0,79,1,1,1,2,NA,NA,3
34,1949,SMinton,HHBurton,0,0,0,0,1949-087,1949-087-01,1949-087-01-01,1949-087-01-01-01-01,6/5/50,1,339 U.S. 660,70 S. Ct. 910,94 L. Ed. 2d 1188,1950 U.S. LEXIS 1812,1303,Vinson,33,QUICKSALL v. MICHIGAN,2/6/50,NA,126,NA,28,27,1,NA,NA,0,302,27,300,27,0,13,2,1,1,2,0,0,0,0,10120,1,1,0,2,NA,2,214,,80,87,1,7,1,89,1,1,1,2,NA,NA,3
35,1949,TCClark,HHBurton,0,0,0,0,1949-015,1949-015-01,1949-015-01-01,1949-015-01-01-01-02,12/5/49,1,338 U.S. 327,70 S. Ct. 161,94 L. Ed. 2d 144,1949 U.S. LEXIS 2974,1303,Vinson,49,PARKER ET AL. v. COUNTY OF LOS ANGELES ET AL.,11/8/49,NA,8,6,5,6,1,NA,NA,0,302,6,301,6,0,10,2,1,1,9,0,0,0,0,90030,9,1,0,3,7,NA,NA,,80,87,1,8,0,88,1,1,1,2,NA,NA,3
36,1949,WODouglas,HHBurton,1,0,0,0,1949-067,1949-067-01,1949-067-01-01,1949-067-01-01-01-05,4/24/50,2,339 U.S. 321,70 S. Ct. 640,94 L. Ed. 2d 877,1950 U.S. LEXIS 2071,1303,Vinson,689,"SHIPMAN ET AL., TRADING AS SHIPMAN BROTHERS, ET AL. v. DuPRE ET AL.",NA,NA,157,NA,19,48,2,NA,NA,1,155,48,155,48,0,1,NA,1,1,5,0,0,0,0,90160,9,1,0,3,NA,NA,NA,,NA,NA,1,8,1,81,2,1,2,1,NA,NA,3
37,1950,FFrankfurter,HHBurton,0,0,0,0,1950-032,1950-032-02,1950-032-02-01,1950-032-02-01-01-06,2/26/51,1,340 U.S. 383,71 S. Ct. 359,95 L. Ed. 2d 364,1951 U.S. LEXIS 2426,1303,Vinson,438,"AMALGAMATED ASSOCIATION OF STREET, ELECTRIC RAILWAY & MOTOR COACH EMPLOYEES OF AMERICA, DIVISION 998, ET AL. v. WISCONSIN EMPLOYMENT RELATIONS BOARD",1/9/51,NA,249,NA,NA,NA,1,117,58,0,302,58,300,58,0,10,2,1,1,3,0,1,0,0,100030,10,2,0,4,NA,3,350,,87,87,1,6,3,80,2,2,1,1,NA,NA,3
