caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
1946-064,1946-064-01,1946-064-01-01,1946-064-01-01-01-06,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,69,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,116,,145,,1,,,0,96,37,22,,0,10,2,2,1,7,0,0,0,0,80050,8,2,0,4,,6,600,46 U.S.C. _ 781,79,78,1,7,2,78,HLBlack,1,1,2,2,,
1946-064,1946-064-01,1946-064-01-01,1946-064-01-01-01-07,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,69,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,116,,145,,1,,,0,96,37,22,,0,10,2,2,1,7,0,0,0,0,80050,8,2,0,4,,6,600,46 U.S.C. _ 781,79,78,1,7,2,85,WBRutledge,1,1,2,2,,
1946-064,1946-064-01,1946-064-01-01,1946-064-01-01-01-08,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,69,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,116,,145,,1,,,0,96,37,22,,0,10,2,2,1,7,0,0,0,0,80050,8,2,0,4,,6,600,46 U.S.C. _ 781,79,78,1,7,2,82,FMurphy,1,1,2,2,,
1946-064,1946-064-01,1946-064-01-01,1946-064-01-01-01-09,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,69,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,116,,145,,1,,,0,96,37,22,,0,10,2,2,1,7,0,0,0,0,80050,8,2,0,4,,6,600,46 U.S.C. _ 781,79,78,1,7,2,87,FMVinson,2,1,1,1,80,
1946-064,1946-064-02,1946-064-02-01,1946-064-02-01-01-01,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,,,,79,78,1,7,2,86,HHBurton,1,1,2,2,,
1946-064,1946-064-02,1946-064-02-01,1946-064-02-01-01-02,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,,,,79,78,1,7,2,84,RHJackson,1,1,2,2,,
1946-064,1946-064-02,1946-064-02-01,1946-064-02-01-01-03,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,,,,79,78,1,7,2,81,WODouglas,1,1,2,2,,
1946-064,1946-064-02,1946-064-02-01,1946-064-02-01-01-04,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,,,,79,78,1,7,2,80,FFrankfurter,2,2,1,1,,
1946-064,1946-064-02,1946-064-02-01,1946-064-02-01-01-05,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,,,,79,78,1,7,2,79,SFReed,1,2,2,2,,
1946-064,1946-064-02,1946-064-02-01,1946-064-02-01-01-06,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,,,,79,78,1,7,2,78,HLBlack,1,1,2,2,,
1946-064,1946-064-02,1946-064-02-01,1946-064-02-01-01-07,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,,,,79,78,1,7,2,85,WBRutledge,1,1,2,2,,
1946-064,1946-064-02,1946-064-02-01,1946-064-02-01-01-08,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,,,,79,78,1,7,2,82,FMurphy,1,1,2,2,,
1946-064,1946-064-02,1946-064-02-01,1946-064-02-01-01-09,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,,,,79,78,1,7,2,87,FMVinson,2,1,1,1,80,
1946-064,1946-064-02,1946-064-02-02,1946-064-02-02-01-01,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,3,349,,79,78,1,7,2,86,HHBurton,1,1,2,2,,
1946-064,1946-064-02,1946-064-02-02,1946-064-02-02-01-02,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,3,349,,79,78,1,7,2,84,RHJackson,1,1,2,2,,
1946-064,1946-064-02,1946-064-02-02,1946-064-02-02-01-03,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,3,349,,79,78,1,7,2,81,WODouglas,1,1,2,2,,
1946-064,1946-064-02,1946-064-02-02,1946-064-02-02-01-04,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,3,349,,79,78,1,7,2,80,FFrankfurter,2,2,1,1,,
1946-064,1946-064-02,1946-064-02-02,1946-064-02-02-01-05,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,3,349,,79,78,1,7,2,79,SFReed,1,2,2,2,,
1946-064,1946-064-02,1946-064-02-02,1946-064-02-02-01-06,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,3,349,,79,78,1,7,2,78,HLBlack,1,1,2,2,,
1946-064,1946-064-02,1946-064-02-02,1946-064-02-02-01-07,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,3,349,,79,78,1,7,2,85,WBRutledge,1,1,2,2,,
1946-064,1946-064-02,1946-064-02-02,1946-064-02-02-01-08,3/10/1947,1,330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,1946,1301,Vinson,514,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",12/11/46,,27,,116,,4,,,0,94,37,22,,0,1,,2,1,10,0,0,0,0,80050,8,2,0,4,,3,349,,79,78,1,7,2,82,FMurphy,1,1,2,2,,
