"","term","medianJJ","lib_median","lib_court","caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes","_merge"
"3252",1967,"TMarshall",1,1,"1967-133","1967-133-01","1967-133-01-01","1967-133-01-01-01",1968-05-20,2,"391 U.S. 364","88 S. Ct. 1666","20 L. Ed. 2d 641","1968 U.S. LEXIS 1646",1410,"Warren","1252","BRANIGIN et al. v. DUDDLESTON et al.",NA,NA,4,18,251,NA,2,NA,NA,0,69,NA,69,NA,1,1,NA,2,1,2,0,0,0,0,20090,2,2,0,3,NA,NA,NA,"",NA,90,1,7,1,3
"3253",1967,"TMarshall",1,1,"1967-133","1967-133-02","1967-133-02-01","1967-133-02-01-01",1968-05-20,2,"391 U.S. 364","88 S. Ct. 1666","20 L. Ed. 2d 641","1968 U.S. LEXIS 1646",1410,"Warren","1263","SUMMERS v. DUDDLESTON et al.",NA,NA,4,18,251,NA,2,NA,NA,0,69,NA,69,NA,1,1,NA,2,1,2,0,0,0,0,20090,2,2,0,3,NA,NA,NA,"",NA,90,1,7,1,3
"3254",1967,"TMarshall",1,1,"1967-145","1967-145-01","1967-145-01-01","1967-145-01-01-01",1968-06-03,1,"391 U.S. 471","88 S. Ct. 1759","20 L. Ed. 2d 751","1968 U.S. LEXIS 2986",1410,"Warren","127","READING CO. v. BROWN, TRUSTEE IN BANKRUPTCY, et al.",1968-03-04,NA,174,NA,114,NA,1,NA,NA,0,109,NA,23,NA,1,10,2,2,1,4,0,1,0,0,80030,8,1,0,4,NA,3,307,"",91,78,1,6,2,3
"3255",1967,"TMarshall",1,1,"1967-194","1967-194-01","1967-194-01-01","1967-194-01-01-01",1968-06-17,2,"392 U.S. 658","88 S. Ct. 2281","20 L. Ed. 2d 1347","1968 U.S. LEXIS 1168",1410,"Warren","1291","HOPPER et al. v. LOUISIANA",NA,NA,100,NA,28,22,1,NA,NA,0,302,22,300,22,0,12,2,1,1,5,0,1,0,0,10270,1,2,0,3,NA,NA,NA,"",NA,90,1,6,3,3
"3256",1967,"TMarshall",1,1,"1967-189","1967-189-01","1967-189-01-01","1967-189-01-01-01",1968-06-17,6,"392 U.S. 598","88 S. Ct. 2243","20 L. Ed. 2d 1322","1968 U.S. LEXIS 1142",1410,"Warren","13","WAINWRIGHT v. CITY OF NEW ORLEANS",1967-10-09,NA,110,NA,3,22,1,NA,NA,0,302,22,300,22,0,12,2,1,1,9,0,0,0,0,10050,1,1,0,3,NA,5,508,"",NA,78,1,7,1,3
"3257",1967,"TMarshall",1,1,"1967-197","1967-197-01","1967-197-01-01","1967-197-01-01-01",1968-06-17,2,"392 U.S. 652","88 S. Ct. 2302","20 L. Ed. 2d 1357","1968 U.S. LEXIS 1162",1410,"Warren","1301 M","WHEAT v. WASHINGTON",NA,NA,100,NA,28,56,1,NA,NA,0,302,56,300,56,0,12,NA,1,1,5,0,1,0,0,10270,1,2,0,3,NA,NA,NA,"",NA,90,1,6,3,3
"3258",1967,"TMarshall",1,1,"1967-195","1967-195-02","1967-195-02-01","1967-195-02-01-01",1968-06-17,2,"392 U.S. 649","88 S. Ct. 2290","20 L. Ed. 2d 1350","1968 U.S. LEXIS 1159",1410,"Warren","1311 M","ELLISON v. TEXAS",NA,NA,100,NA,28,51,1,NA,NA,0,302,51,300,51,0,12,NA,1,1,5,0,1,0,0,10250,1,2,0,3,NA,NA,NA,"",NA,90,1,6,3,3
"3259",1967,"TMarshall",1,1,"1967-151","1967-151-01","1967-151-01-01","1967-151-01-01-01",1968-06-03,2,"391 U.S. 593","88 S. Ct. 1753","20 L. Ed. 2d 835","1968 U.S. LEXIS 1474",1410,"Warren","1328","KAISER STEEL CORP. v. W. S. RANCH CO.",NA,NA,132,NA,195,NA,1,NA,NA,0,93,NA,30,NA,0,12,3,2,1,4,0,1,0,0,90090,9,1,0,3,7,NA,NA,"",NA,90,1,9,0,3
"3260",1967,"TMarshall",1,1,"1967-066","1967-066-01","1967-066-01-01","1967-066-01-01-01",1968-01-29,2,"390 U.S. 136","88 S. Ct. 752","19 L. Ed. 2d 962","1967 U.S. LEXIS 1",1410,"Warren","133","KOLOD et al. v. UNITED STATES",NA,NA,100,NA,27,NA,6,NA,NA,0,30,NA,30,NA,0,1,2,1,1,5,0,1,0,0,10050,1,2,0,3,NA,NA,NA,"",NA,90,1,7,1,3
"3261",1967,"TMarshall",1,1,"1967-170","1967-170-01","1967-170-01-01","1967-170-01-01-01",1968-06-10,2,"392 U.S. 299","88 S. Ct. 2050","20 L. Ed. 2d 1104","1968 U.S. LEXIS 1360",1410,"Warren","135","JONES v. UNITED STATES",NA,NA,100,NA,27,NA,1,NA,NA,0,96,NA,22,NA,0,12,NA,1,1,5,0,1,0,0,10270,1,2,0,3,NA,NA,NA,"",NA,90,1,6,2,3
